Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","105","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","107","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","109","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","111","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","112","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","113","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","115","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","116","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","117","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","118","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","119","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","120","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","121","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","122","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","123","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","123","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20002002","2000-2002","kcal/capita/day","2389","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20012003","2001-2003","kcal/capita/day","2410","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20022004","2002-2004","kcal/capita/day","2440","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20032005","2003-2005","kcal/capita/day","2462","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20042006","2004-2006","kcal/capita/day","2486","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20052007","2005-2007","kcal/capita/day","2514","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20062008","2006-2008","kcal/capita/day","2546","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20072009","2007-2009","kcal/capita/day","2579","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20082010","2008-2010","kcal/capita/day","2611","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20092011","2009-2011","kcal/capita/day","2645","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20102012","2010-2012","kcal/capita/day","2680","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20112013","2011-2013","kcal/capita/day","2704","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20122014","2012-2014","kcal/capita/day","2734","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20132015","2013-2015","kcal/capita/day","2759","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20142016","2014-2016","kcal/capita/day","2789","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20152017","2015-2017","kcal/capita/day","2812","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20162018","2016-2018","kcal/capita/day","2838","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/capita/day","2852","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20182020","2018-2020","kcal/capita/day","2862","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20002002","2000-2002","%","64","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20012003","2001-2003","%","63","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20022004","2002-2004","%","63","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20032005","2003-2005","%","63","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20042006","2004-2006","%","63","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20052007","2005-2007","%","62","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20062008","2006-2008","%","62","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20072009","2007-2009","%","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20082010","2008-2010","%","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20092011","2009-2011","%","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20102012","2010-2012","%","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20112013","2011-2013","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20122014","2012-2014","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5304","South-eastern Asia","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20132015","2013-2015","%","60","F","FAO estimate",""
