Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","525007.931","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","261486.44","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","263521.485","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","325876.371","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","198780.746","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","532449.607","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","265181.303","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","267268.305","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","327231.62","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","205018.807","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","539741.975","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","268812.889","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","270929.063","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","328407.536","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","211355.176","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","546923.112","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","272410.913","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","274512.218","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 persons","329411.407","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","217778.288","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","554046.69","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","5304","South-eastern Asia","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 persons","276015.934","A","Aggregate, may include official, semi-official, estimated or calculated data",""
