Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","43.181437","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","43.633731","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","45.509214","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","46.598498","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","47.832985","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","50.541146","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","54.601641","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","58.072798","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","63.286448","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","71.338121","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","74.053484","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","80.611773","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","85.513733","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","88.900832","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","94.809355","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.403314","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","103.01628","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","106.418003","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.829339","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","111.773699","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","115.891934","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","118.905956","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","43.138947","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","43.732242","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","45.971282","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","46.651946","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","47.829451","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","50.571013","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","54.889381","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","58.438364","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","64.290775","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","71.715467","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","74.656449","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","81.203444","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","85.257062","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","89.755672","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","95.050807","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","98.910741","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.133234","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","106.397469","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","109.127413","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","111.512893","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","116.320292","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","119.100435","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","42.862138","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","43.784652","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","45.597189","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","46.315392","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","47.978883","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","50.610693","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","54.732343","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","58.31324","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","65.007915","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"CP","Consumer Price Indices","035","South-eastern Asia","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","71.662314","A","Aggregate, may include official, semi-official, estimated or calculated data",""
