Area,Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation,Population_total,Area_cat
Brunei Darussalam,2000,2323.0,123.65911594202899,78.95366666666659,87.49299999999994,45.359000000000016,82.78,95.80400000000002,0.21,2895.8025,69022.9,3.13,1802.0,0.14399999999999988,0.1,0.1,1.888999999999999,0.7,1.7519999999999993,0.29200000000000026,0.45800000000000024,8.270869187675068,51.0,49.493,6.2,20.9,99.0,97.64300000000001,95.62700000000001,81.817,1.3,17.1,10.3,11.279000000000005,7.2,4.050999999999993,2.6459999999999995,47.64,4.13,89.312189,95.14298200000002,0.7342437352388955,333166.0,0
Brunei Darussalam,2001,2329.0,123.0,75.7,87.4,45.4,81.0,100.0,0.21,2859.0,69483.9,3.29,1806.0,0.14399999999999988,0.1,0.1,1.9989999999999992,0.7,1.7619999999999993,0.1,0.4600000000000002,7.5,63.0,50.0,6.4,21.0,99.0,96.03499999999998,95.68,81.369,1.261283333333333,16.6,9.5,7.357000000000004,7.5,3.1449999999999982,2.6,50.0,5.0,89.91182149999999,95.70993016666664,0.671642,340037.0,0
Brunei Darussalam,2002,2337.0,125.0,78.7,89.7,47.7,85.0,99.6,0.21,2923.0,70771.6,3.16,1812.0,0.14499999999999988,0.1,0.1,1.8929999999999987,0.6,1.7579999999999993,0.29200000000000026,0.4600000000000002,6.9,31.0,50.0,6.6,21.0,99.0,97.24099999999999,95.64499999999997,80.966,1.16,16.3,9.2,7.092000000000002,7.9,3.426999999999995,2.5,48.0,4.0,90.28605766666668,93.49427166666663,0.4162976666666667,346777.0,0
Brunei Darussalam,2003,2345.0,127.0,81.7,90.3,48.3,86.0,95.7,0.21,2971.0,71483.2,3.17,1817.0,0.14499999999999988,0.1,0.1,1.8859999999999988,0.6,1.787999999999999,0.29200000000000026,0.46100000000000024,6.7,40.0,50.0,6.8,20.9,99.0,96.833,95.64499999999997,80.976,1.15,16.0,9.1,6.9440000000000035,8.2,3.4429999999999956,2.5,47.0,4.0,90.03375899999999,93.74358966666668,-0.2791260833333333,353295.0,0
Brunei Darussalam,2004,2352.0,127.0,81.0,88.6,47.3,76.0,93.8,0.21,2996.0,70616.6,3.22,1822.0,0.14199999999999988,0.1,0.1,1.895999999999999,0.6,1.8149999999999988,0.28900000000000026,0.46200000000000024,4.2,59.0,50.0,7.0,20.7,99.0,96.93599999999998,95.773,81.075,1.37,15.7,9.2,6.935000000000003,8.6,3.4859999999999958,2.5,46.0,4.0,90.485887,94.53049983333337,0.5037815833333333,359434.0,0
Brunei Darussalam,2005,2360.0,127.0,79.3,87.3,47.0,79.0,98.1,0.21,3006.0,69787.8,3.18,1827.0,0.14199999999999988,0.1,0.1,1.8869999999999991,0.6,1.8409999999999989,0.28900000000000026,0.46200000000000024,6.4,65.0,50.0,7.1,20.5,99.0,96.98199999999999,95.735,81.211,1.21,15.5,9.5,6.935000000000003,9.0,3.5069999999999952,2.5,47.0,3.0,91.39391066666668,95.71874583333334,1.0049734166666666,365112.0,0
Brunei Darussalam,2006,2365.0,126.0,78.7,85.0,45.7,84.0,91.1,0.21,2990.0,71843.5,3.04,1831.0,0.14199999999999988,0.1,0.1,1.8859999999999988,0.6,1.8669999999999987,0.2950000000000003,0.5400000000000003,18.3,39.0,42.9,7.3,20.2,99.0,96.90500000000002,95.46299999999998,81.392,1.12,15.5,9.9,12.460000000000004,9.4,6.868,2.5,47.0,3.0,91.74807783333333,95.8654059166667,0.3875989166666667,370262.0,0
Brunei Darussalam,2007,2372.0,126.0,79.4,84.7,46.0,98.0,87.6,0.21,2981.0,71051.7,3.03,1835.0,0.14199999999999988,0.1,0.1,2.0089999999999986,0.7,1.8999999999999988,0.3000000000000003,0.5400000000000003,17.2,22.0,37.5,7.5,19.8,99.0,96.3,95.52699999999999,81.556,1.11,15.4,10.4,13.507000000000007,9.8,7.760000000000004,2.5,46.0,3.0,92.94998475,96.7915955,1.3095505,374967.0,0
Brunei Darussalam,2008,2378.0,125.0,80.0,83.7,45.3,99.0,83.5,0.21,2967.0,68856.2,3.12,1840.0,0.14099999999999988,0.1,0.1,7.607000000000005,0.7,1.8659999999999988,0.6249999999999999,0.46400000000000036,14.6,37.0,30.0,7.7,19.3,99.0,96.3,83.01400000000004,80.93900000000002,1.13,15.2,10.9,15.356000000000003,10.2,7.122000000000001,2.5,45.0,3.0,96.40876408333334,98.81056108333333,3.7160902500000006,379418.0,0
Brunei Darussalam,2009,2384.0,125.0,80.3,84.3,45.7,101.0,90.9,0.21,2976.0,66851.1,3.05,1843.0,0.1,0.1,0.1,7.635000000000004,0.7,1.875999999999999,0.6319999999999998,0.5770000000000003,13.5,44.0,27.3,7.9,18.8,99.0,96.3,82.918,80.695,1.39,15.0,11.4,15.071999999999997,10.7,7.114000000000001,2.5,45.0,3.0,99.14245941666668,99.83239858333332,2.8541022500000004,383902.0,0
