Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2282.0,,,,,,,0.21,,15917.1,2.95,1774.0,,0.1,0.5,,50.5,1.0,,,2.1,,23.0,,,5.4,20.0,96.9,96.8,92.6,65.6,0.09,35.1,,10.0,,7.0,,,0.5,,,62.27486716666667,71.39616666666667,
2001,2287.0,124.0,85.7,75.3,41.7,382.0,80.2,0.21,2836.0,15652.0,2.99,1777.0,,0.1,0.5,,49.1,1.1,0.6,,2.2,15.8,41.0,40.9,,5.5,19.5,96.9,97.0,92.7,65.9,,34.7,,9.9,,7.5,,2.5,0.5,44.0,3.0,62.70041199999999,72.40769633333333,0.6838949166666667
2002,2295.0,123.0,85.7,75.0,41.3,395.0,77.7,0.21,2818.0,16155.6,3.06,1782.0,,0.1,0.5,,48.0,1.2,0.7,,2.2,13.2,48.0,39.9,,5.6,19.1,96.9,97.2,92.8,66.1,0.54,34.2,,9.9,,7.9,,2.8,0.5,44.0,3.0,63.14152574999999,73.71673566666666,0.7037986666666667
2003,2304.0,122.0,86.0,76.0,41.7,405.0,85.1,0.22,2820.0,16751.4,2.97,1789.0,,0.1,0.5,,47.4,1.3,0.7,,2.2,9.9,60.0,39.1,,5.7,18.8,96.9,97.5,92.8,66.3,0.49,33.5,,10.0,,8.4,,2.9,0.5,45.0,3.0,63.98742599999998,74.52000925,1.3400846666666666
2004,2313.0,122.0,85.7,76.7,41.7,420.0,82.6,0.22,2823.0,17538.5,2.97,1794.0,,0.1,0.5,,47.3,1.4,0.8,,2.2,7.2,57.0,39.5,,5.8,18.6,97.0,97.7,92.9,66.5,0.35,32.9,,10.1,,8.9,,3.1,0.5,46.0,3.0,65.39379999999998,75.57914075000002,2.1968986666666663
2005,2321.0,122.0,85.0,78.0,42.0,431.0,86.3,0.22,2826.0,18114.1,3.06,1800.0,,0.1,0.5,,47.7,1.5,0.8,,2.2,8.6,29.0,40.4,,5.8,18.3,97.0,97.9,93.0,66.7,0.56,32.5,,10.2,,9.4,,3.2,0.5,47.0,4.0,67.76970825,77.82767375,3.632345333333333
2006,2329.0,121.0,83.7,78.7,42.0,438.0,81.1,0.22,2826.0,18752.5,3.01,1805.0,0.3,0.1,0.5,,48.5,1.7,0.9,,2.2,10.0,22.0,42.3,13.2,5.9,18.1,97.0,98.1,93.0,66.9,0.29,32.0,,10.4,,9.9,,3.4,0.5,47.0,4.0,70.05128866666668,80.63665783333333,3.3702406666666667
2007,2336.0,121.0,83.3,77.6,41.3,449.0,77.2,0.22,2820.0,19547.0,2.91,1810.0,,0.1,0.4,,49.6,1.8,1.0,,2.2,11.5,19.0,43.8,,5.9,17.9,97.0,98.3,93.1,67.1,0.19,31.5,,10.6,,10.4,,3.6,0.5,46.0,4.0,72.16909216666666,82.27144758333334,3.0210946666666665
2008,2343.0,121.0,83.7,77.3,41.3,455.0,72.8,0.22,2828.0,20103.5,2.85,1814.0,,0.1,0.4,,51.0,1.9,1.0,,2.3,6.0,20.0,44.7,,5.9,17.9,97.0,98.5,93.2,67.6,0.11,31.1,,10.7,,10.9,,3.6,0.5,46.0,5.0,78.55638691666667,86.747658,8.832798416666666
2009,2350.0,121.0,85.4,77.4,42.0,460.0,69.5,0.22,2840.0,19443.0,2.91,1818.0,,0.1,0.4,,52.4,2.1,1.0,,2.3,10.0,22.0,44.9,,6.0,17.8,97.0,98.7,93.2,68.1,-0.04,30.7,,10.9,,11.5,,3.5,0.5,45.0,5.0,81.80933283333334,87.25366425,4.26261525
