Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2237.0,,,,,,,0.26,,2955.0,2.94,1742.0,0.4,0.2,3.0,,130.1,0.3,,,5.9,,51.0,,6.1,2.4,41.8,80.5,51.9,,,0.41,27.3,22.0,9.2,,0.6,,,1.0,,,26.36446166666667,33.300455916666664,
2001,2253.0,103.0,41.0,56.0,15.3,209.0,-12.0,0.26,2328.0,3105.6,2.99,1752.0,,0.2,2.7,,126.4,0.4,15.9,,5.8,2.9,53.0,58.4,,2.5,39.8,81.4,53.9,,,,25.9,,9.1,,0.7,,19.7,0.7,69.0,5.0,25.69532375,33.15674958333333,-2.530146583333333
2002,2264.0,106.0,43.7,58.3,16.3,219.0,-11.7,0.27,2388.0,3269.9,3.02,1759.0,0.6,0.2,2.5,,124.2,0.4,14.7,,5.6,2.7,58.0,59.0,8.9,2.5,38.0,82.2,55.8,,,0.35,24.5,15.5,8.9,,0.7,,18.0,0.8,69.0,4.0,26.508756916666666,34.39312633333333,3.169549083333333
2003,2272.0,108.0,46.3,60.7,18.0,230.0,-10.9,0.27,2449.0,3462.9,3.11,1764.0,0.7,0.2,2.4,,123.1,0.4,13.4,,5.4,3.6,24.0,61.3,10.9,2.6,36.1,83.1,57.8,,,0.13,23.2,,8.8,,0.8,,16.3,0.8,68.0,4.0,27.178685416666664,35.505622833333334,2.5348580833333334
2004,2280.0,109.0,49.4,63.0,19.7,238.0,-13.1,0.27,2485.0,3689.7,3.15,1769.0,0.7,0.2,2.3,,123.0,0.5,13.0,,5.2,4.0,15.0,65.9,11.3,2.8,34.4,83.9,59.7,,,0.15,22.0,,8.7,,0.9,,15.7,0.8,66.0,4.0,30.577242916666666,38.259065666666665,12.53350725
2005,2289.0,110.0,53.4,64.0,21.0,245.0,-13.1,0.28,2509.0,3931.8,3.27,1775.0,0.7,0.2,2.2,,123.5,0.5,13.0,,5.0,4.3,19.0,69.8,10.7,2.9,32.9,84.8,61.6,,,0.48,20.9,,8.6,,0.9,,15.5,1.0,64.0,4.0,33.993396000000004,41.4286655,11.240448666666666
2006,2293.0,110.0,57.4,65.7,22.3,252.0,-12.5,0.28,2533.0,4167.1,3.25,1778.0,0.7,0.2,2.2,,124.6,0.6,12.9,,4.8,2.9,22.0,72.5,9.9,3.0,31.6,85.6,63.6,,,0.4,19.9,16.1,8.6,,1.0,,15.3,1.0,63.0,5.0,36.93270166666665,44.50185099999999,8.663434166666667
2007,2299.0,112.0,61.0,67.7,24.0,260.0,-11.2,0.28,2582.0,4422.3,3.34,1782.0,0.7,0.2,2.1,,126.2,0.6,12.1,,4.6,1.1,38.0,72.9,10.1,3.2,30.4,86.4,65.6,,,0.25,18.9,,8.5,,1.1,,14.1,1.0,62.0,5.0,41.08506008333333,48.21528508333333,11.200887833333333
2008,2304.0,114.0,64.4,70.7,26.3,267.0,-10.9,0.28,2634.0,4628.0,3.34,1786.0,0.7,0.2,2.1,,128.0,0.7,11.1,,4.5,1.4,40.0,73.0,9.7,3.4,29.4,87.3,67.5,,,0.16,18.1,,8.5,,1.2,,12.9,1.0,61.0,6.0,56.2464355,59.3604645,36.79060925000001
2009,2307.0,116.0,67.0,73.3,28.0,273.0,-10.7,0.29,2678.0,4830.3,3.45,1788.0,0.5,0.3,2.0,,129.7,0.8,10.3,,4.4,1.9,35.0,72.6,7.1,3.5,28.5,88.1,69.4,,,0.27,17.5,,8.5,,1.3,,11.8,1.0,60.0,7.0,60.94629983333334,63.34769683333335,9.030704083333333
