Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2265.0,105.74,41.706500000000034,52.86149999999998,12.360000000000005,199.52941176470588,16.716500000000018,0.27,2653.4736842105262,5689.3,3.67,1761.0,1.2,0.8,8.8,19.486499999999996,515.9,3.5,38.62800000000011,2.169,19.3,6.947000000000003,42.0,26.58849999999995,5.5,4.0,41.5,75.3,38.0,22.512500000000017,40.085000000000015,-2.0,33.3,22.22250000000004,11.2,42.95199999999994,2.6,9.14250000000002,19.275499999999944,0.2744999999999997,70.575,5.24,27.47263975,33.26962083333333,8.506003605416687
2001,2267.0,106.0,44.3,52.3,12.0,166.0,12.8,0.28,2409.0,5816.4,3.73,1763.0,1.2,0.9,8.7,19.366499999999995,518.1,3.8,41.1,2.1544999999999996,19.1,9.1,47.0,28.4,5.4,4.2,40.7,76.3,40.2,22.64300000000002,40.28300000000001,0.2875,32.4,22.22250000000004,11.1,34.427999999999976,2.8,5.203,19.2,0.2744999999999997,71.0,4.0,29.788411166666666,37.095665833333335,8.468477583333332
2002,2268.0,107.0,45.7,52.7,12.3,173.0,12.6,0.28,2421.0,5996.2,3.78,1764.0,1.9084999999999934,1.0,8.7,18.983499999999996,521.0,4.2,41.6,2.1234999999999995,19.0,4.9,40.0,28.7,9.097000000000023,4.4,40.0,77.2,42.4,22.755000000000013,40.6685,-1.58,31.7,38.7,11.0,7.099499999999998,3.0,5.149000000000001,19.1,0.2744999999999997,70.0,4.0,33.013109750000005,41.51009166666668,10.878485416666665
2003,2270.0,108.0,46.7,53.3,12.7,181.0,13.3,0.28,2438.0,6198.7,3.83,1765.0,1.9204999999999932,1.0,8.6,18.6775,523.0,4.5,41.6,2.094499999999999,18.8,2.4,33.0,27.9,11.749500000000033,4.7,39.4,78.2,44.7,22.852000000000007,41.37200000000001,-2.09,30.9,32.31499999999994,10.8,7.2775000000000025,3.2,4.143,18.9,0.27299999999999963,69.0,5.0,33.37113183333333,44.31506083333333,1.1046665833333331
2004,2271.0,108.0,47.7,53.3,13.0,187.0,11.5,0.29,2446.0,6423.7,3.88,1766.0,3.2,1.1,8.6,18.241,524.8,4.9,42.5,2.092999999999999,18.5,4.2,20.0,27.8,14.4,4.9,38.8,79.1,47.0,23.152,42.266499999999986,-1.91,30.2,32.05299999999994,10.7,7.196500000000002,3.4,4.143,19.1,0.2719999999999997,69.0,5.0,35.33716166666667,47.00235249999999,5.929216833333332
2005,2272.0,108.0,48.0,53.7,13.3,194.0,11.7,0.29,2454.0,6699.3,3.93,1767.0,3.061500000000001,1.2,8.5,18.241,525.5,5.2,43.5,2.1009999999999995,18.3,5.2,9.0,28.9,12.572500000000037,5.3,38.3,80.0,49.3,23.283,42.94799999999999,-1.52,29.5,30.687499999999932,10.7,7.303500000000006,3.6,3.5009999999999986,19.2,0.24200000000000013,69.0,4.0,38.97699958333333,51.91560333333334,10.289273083333336
2006,2275.0,109.0,49.7,54.3,13.7,199.0,12.2,0.29,2473.0,6974.4,3.98,1769.0,3.1034999999999995,1.3,8.5,18.241,525.5,5.6,43.5,2.0755,18.2,4.6,12.0,30.3,12.57750000000002,5.6,37.8,80.9,51.6,23.413500000000003,44.55800000000002,-1.42,28.9,32.7584999999999,10.6,7.830000000000005,3.8,3.227499999999998,19.0,0.2,68.0,5.0,44.76539566666667,58.72105000000001,14.993463666666665
2007,2277.0,110.0,50.7,55.3,14.3,207.0,11.9,0.3,2501.0,7319.4,4.04,1771.0,3.3,1.3,8.4,18.241,525.2,6.2,42.9,2.0780000000000003,18.1,5.1,13.0,30.5,14.8,6.0,37.3,81.8,54.0,23.58150000000001,45.803000000000004,-1.2,28.3,31.2,10.5,11.023999999999992,4.1,3.227499999999998,18.5,0.3,69.0,5.0,49.6672195,62.483048333333336,10.969682416666664
2008,2279.0,112.0,51.7,56.3,14.7,213.0,10.5,0.3,2542.0,7657.6,4.09,1773.0,3.1164999999999967,1.4,8.4,18.241,524.3,6.6,40.9,2.0525000000000007,18.0,4.0,13.0,29.5,12.556500000000018,6.4,36.9,82.7,56.4,23.65750000000001,47.763000000000005,-1.06,27.7,33.991999999999905,10.4,10.892499999999993,4.3,3.227499999999998,17.4,0.3,69.0,5.0,58.0921615,68.87298166666666,16.945852833333333
2009,2280.0,113.0,52.3,57.3,15.3,219.0,10.2,0.3,2583.0,7906.3,4.14,1774.0,3.0304999999999933,1.6,8.3,18.241,523.2,7.2,36.9,2.052000000000001,17.9,4.0,10.0,28.8,11.991500000000006,6.8,36.3,83.6,58.8,24.013,49.86550000000001,-0.75,27.3,32.92299999999993,10.4,10.892499999999993,4.6,3.227499999999998,15.5,0.297999999999999,69.0,5.0,62.14838566666666,71.89403666666666,7.1088674166666665
2010,2281.0,116.0,53.7,59.0,16.0,224.0,13.1,0.28,2638.0,8286.7,4.19,1774.0,2.9,1.7,8.3,18.241,521.2,7.8,31.3,1.992500000000001,17.9,5.0,22.0,28.5,12.3,7.2,35.7,84.4,61.2,24.40849999999999,51.005500000000026,-0.85,27.0,36.944999999999936,10.3,10.775499999999992,4.9,3.227499999999998,13.0,0.3,69.0,6.0,68.00424675000001,75.58522416666666,9.391281166666667
2011,2284.0,118.0,55.0,60.3,16.7,230.0,14.7,0.27,2686.0,8680.2,4.24,1777.0,2.7204999999999946,1.8,8.1,18.241,518.1,8.4,26.1,2.047000000000003,18.0,2.7,27.0,28.6,11.590000000000002,7.7,35.1,85.3,63.7,24.734499999999983,52.089500000000015,-0.77,26.9,40.73699999999989,10.2,10.659499999999989,5.2,3.205499999999998,10.7,0.3,69.0,6.0,73.81541066666666,79.633605,8.722155083333332
2012,2285.0,119.0,56.0,61.3,17.0,235.0,15.4,0.27,2726.0,9080.1,4.29,1777.0,2.7699999999999974,1.9,8.1,18.241,514.1,9.1,23.4,2.0235000000000043,18.3,3.2,32.0,28.6,12.045499999999997,8.2,34.5,86.1,66.1,25.00949999999999,53.6885,-0.59,27.0,40.9,10.2,10.183499999999988,5.5,3.1804999999999977,9.4,0.3,69.0,7.0,78.13735783333333,83.041535,5.864713166666667
2013,2286.0,121.0,56.3,62.0,17.7,240.0,13.3,0.27,2776.0,9457.0,4.35,1778.0,3.2,2.1,8.1,18.241,509.2,9.7,21.0,2.0460000000000043,18.6,3.9,34.0,28.6,13.5,8.6,33.8,86.9,68.6,25.267999999999986,53.70750000000002,-0.52,27.2,43.53499999999991,10.1,10.098999999999988,5.8,1.7774999999999943,8.3,0.3,69.0,7.0,87.37522491666667,88.3665725,11.799816833333335
2014,2287.0,123.0,55.7,62.7,18.3,241.0,12.2,0.27,2820.0,9801.2,4.4,1779.0,2.743999999999997,2.2,8.1,17.255,503.8,10.4,19.6,2.091500000000005,19.1,4.0,21.0,28.5,10.39650000000001,9.1,33.3,87.7,71.1,25.48599999999998,54.85850000000003,-0.42,27.6,45.34199999999993,10.0,9.910499999999994,6.1,1.248499999999999,7.7,0.3,69.0,7.0,93.33246933333332,94.01755,6.881679249999999
2015,2289.0,125.0,55.3,64.0,19.3,242.0,11.1,0.28,2868.0,10149.6,4.45,1780.0,2.6974999999999962,2.3,8.0,15.5,497.6,11.3,18.2,1.8,19.6,4.3,27.0,27.8,9.317500000000015,9.5,32.9,88.5,73.6,25.643499999999985,55.71000000000001,-0.62,28.2,46.21449999999997,10.0,6.0,6.5,0.7,7.0,0.3,69.0,8.0,100.02167833333333,100.00000583333332,7.183064916666666
2016,2289.0,126.0,56.4,65.3,20.0,161.0,10.2,0.28,2894.0,10531.1,4.5,1780.0,2.7274999999999974,2.5,8.1,19.0,518.15625,12.2,17.7,2.3,20.3,5.6,21.0,26.8,9.67300000000002,10.0,32.5,89.3,76.1,25.821499999999993,55.96849999999992,-0.37,28.9,48.106499999999976,10.376999999999999,7.3,6.9,0.9,6.8,0.3,69.0,8.0,107.26501133333336,103.52580833333332,7.26224375
2017,2291.0,127.0,58.7,66.7,20.7,80.0,10.1,0.28,2919.0,10935.6,4.3,1782.0,2.719499999999997,2.6,8.0,20.0,518.15625,11.607000000000012,16.8,2.4,20.9,8.5,20.0,25.9,9.761500000000023,10.3,32.3,90.1,78.7,25.985999999999994,56.63849999999998,-0.5,29.6,50.7,10.587999999999997,7.6,6.754500000000006,0.9,6.4,0.3,68.0,9.0,109.54727325,107.46889166666668,2.142843416666667
2018,2294.0,127.0,57.724500000000035,68.10150000000017,20.637499999999942,199.52941176470588,11.87149999999998,0.28,2914.0,11371.7,4.1,1784.0,2.5,2.6,7.8,18.7,518.15625,11.607000000000012,17.2,2.2,21.6,5.5845000000000065,25.0,26.248499999999993,10.2,10.7,32.2,90.9,81.3,26.15,57.15599999999991,-0.54,30.4,48.88899999999996,10.585999999999997,7.0,6.753000000000006,0.8,6.4,0.3,68.28,9.0,114.19058575000004,110.90612500000002,4.2413585
2019,2297.0,126.0,58.34650000000005,68.10150000000017,20.828999999999937,199.52941176470588,11.935999999999979,0.28,2908.0,11812.0,3.9,1786.0,2.651999999999997,2.6,7.7,16.8,518.15625,11.607000000000012,17.6,1.9,22.3,5.5845000000000065,34.0,28.0375,9.718500000000022,10.9,32.0,91.6,83.9,26.64799999999999,57.63899999999992,-0.48,31.2,48.88899999999996,10.786999999999999,6.2,6.762500000000006,0.7,6.5,0.30149999999999894,68.285,9.93,115.42190041666667,114.26724166666668,1.0849549166666668
2020,2299.0,125.25,58.44250000000004,68.10150000000017,20.806999999999938,199.52941176470588,11.979999999999983,0.28,2653.4736842105262,11445.0,3.9,1787.0,2.651999999999997,2.6,7.5,17.305000000000028,518.15625,11.607000000000012,17.476999999999947,2.0144999999999955,21.94800000000003,5.5845000000000065,30.33,31.840500000000002,9.506000000000022,11.1,31.8,92.4,86.5,26.376499999999993,57.851999999999954,0.22400000000000023,31.373999999999942,48.88899999999996,11.059999999999997,7.177000000000013,6.776500000000007,1.5229999999999972,6.645500000000006,0.30149999999999894,68.23,10.195,121.61607333333332,116.46226666666668,5.378286833333334
