Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2215.0,95.105,27.142500000000055,56.3535,11.125500000000013,234.0,2.6939999999999973,0.3,2429.842105263158,2861.3,2.98,1733.0,0.1,0.1,0.4,37.1605000000001,34.7,0.10450000000000015,1.5994999999999961,2.0965000000000025,0.5,13.679000000000016,19.0,30.432500000000065,17.5,2.1,49.7,46.1,28.2,4.9,21.7,-0.58,42.6,18.8,20.4,45.35999999999984,1.7,11.27450000000001,31.62099999999994,0.49400000000000005,75.86,21.5,26.99255733333333,38.27078999999999,10.893167040416673
2001,2226.0,96.0,26.3,57.0,10.7,190.0,2.5,0.28,2138.0,2977.8,3.01,1740.0,0.10100000000000006,0.1,0.4,37.1605000000001,33.8,0.10500000000000016,1.7,2.226000000000001,0.5,16.3,21.0,31.1,14.700499999999991,2.1,49.3,48.5,31.2,6.7,24.3,0.22795000000000024,41.7,20.109000000000048,20.2,45.35999999999984,1.8,11.27450000000001,31.2,0.49400000000000005,76.0,20.0,30.071333666666664,41.26043066666666,11.559259416666668
2002,2235.0,97.0,27.0,58.0,11.3,194.0,2.7,0.27,2156.0,3106.0,3.09,1746.0,0.10100000000000006,0.1,0.4,37.67100000000007,33.0,0.1,1.6,2.226000000000001,0.5,14.9,22.0,29.8,13.639999999999997,2.1,49.0,50.9,34.2,8.6,26.7,-0.1,40.9,27.60749999999999,19.9,45.35999999999984,2.0,11.27450000000001,29.5,0.49400000000000005,76.0,23.0,32.581580833333334,45.64696933333334,8.331421666666667
2003,2244.0,98.0,28.0,59.0,11.7,199.0,2.3,0.26,2192.0,3245.2,3.17,1752.0,0.10100000000000006,0.1,0.4,37.8785000000001,32.4,0.1,1.5,2.2190000000000016,0.5,14.5,22.0,28.5,13.847999999999999,2.1,48.6,53.2,37.2,10.6,29.1,-1.23,40.2,27.06649999999999,19.6,45.35999999999984,2.1,11.27450000000001,26.9,0.49400000000000005,75.0,26.0,36.75836883333333,52.71738958333333,12.777793166666667
2004,2253.0,99.0,29.7,59.7,12.0,202.0,1.4,0.25,2235.0,3399.3,3.19,1757.0,0.10100000000000006,0.1,0.4,17.570499999999946,32.0,0.1,1.4,2.2070000000000016,0.5,6.2,24.0,27.5,11.209500000000016,2.1,48.1,55.5,40.2,11.1,31.4,-0.61,39.4,28.90849999999994,19.4,45.35999999999984,2.3,11.27450000000001,24.1,0.49400000000000005,75.0,27.0,41.32624958333333,58.23282341666667,12.482313916666667
2005,2263.0,100.0,31.0,60.0,12.0,207.0,-0.5,0.25,2257.0,3584.3,3.17,1763.0,0.10100000000000006,0.1,0.4,3.7710000000000097,31.6,0.1,1.3,2.1970000000000014,0.6,6.0,18.0,26.6,9.58000000000002,2.1,47.6,57.7,43.1,11.6,33.6,-0.49,38.7,27.620999999999913,19.1,45.35999999999984,2.5,11.27450000000001,22.4,0.49400000000000005,74.0,24.0,47.03034683333333,62.40441391666667,13.7472845
2006,2271.0,101.0,32.3,60.7,12.0,213.0,-0.6,0.24,2283.0,3830.4,3.13,1768.0,0.1,0.1,0.4,3.7760000000000082,31.3,0.1,1.2,2.0855000000000006,0.6,6.7,25.0,25.9,7.4,2.1,46.9,59.8,45.8,12.0,35.8,-0.09,38.1,26.7,18.9,44.71449999999985,2.7,11.27450000000001,20.6,0.49400000000000005,73.0,21.0,51.26324508333334,66.489154,9.075910833333333
2007,2279.0,100.0,33.0,60.3,12.0,217.0,-1.7,0.23,2282.0,4052.8,3.19,1773.0,0.10100000000000006,0.1,0.4,3.7760000000000082,31.0,0.1,1.2,2.072,0.6,9.6,21.0,24.9,8.570000000000014,2.1,46.1,61.9,48.5,12.5,37.9,-0.18,37.5,29.100999999999917,18.7,44.458499999999894,2.9,11.27450000000001,20.1,0.49400000000000005,73.0,19.0,55.62179125,69.58886,8.53708325
2008,2285.0,101.0,34.0,61.3,12.3,225.0,-2.3,0.23,2314.0,4296.5,3.08,1777.0,0.10100000000000006,0.1,0.3,3.761500000000008,30.8,0.1,1.1,1.9775000000000003,0.6,6.3,20.0,23.9,8.38900000000001,2.2,45.2,63.9,51.2,12.9,40.0,0.02,37.0,28.820499999999942,18.5,44.46049999999989,3.1,10.470500000000008,18.3,0.49550000000000005,72.0,21.0,61.69599399999999,74.89766133333332,10.900381916666667
2009,2292.0,102.0,35.0,62.4,12.7,231.0,-4.5,0.23,2326.0,4542.2,3.21,1781.0,0.10150000000000008,0.1,0.3,3.761500000000008,30.4,0.1,1.1,1.9615000000000007,0.6,8.7,36.0,23.0,8.020000000000012,2.2,44.2,65.9,53.8,13.3,42.0,-0.16,36.6,28.104999999999954,18.3,44.46049999999989,3.3,10.470500000000008,17.7,0.5020000000000001,72.0,18.0,63.01045000000001,75.00340741666669,2.24645175
