Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2239.0,90.99,31.094500000000004,52.45749999999994,11.48400000000001,269.8235294117647,10.491000000000017,0.28,2497.8947368421054,1093.8,2.55,1743.0,0.6,0.2,2.4,41.51650000000007,156.8,0.6,17.04899999999995,1.988500000000001,6.3,7.389000000000011,38.0,26.307499999999987,10.7,4.5,47.0,47.0,63.5,27.1,58.4,-1.67,47.6,10.5,13.9,9.0225,2.2,9.850500000000022,36.360500000000094,0.2565000000000005,65.25,9.49,10.795567083333333,11.602793083333333,21.163751948750008
2001,2240.0,90.0,38.7,51.3,10.7,210.0,-5.4,0.28,2025.0,1204.8,2.57,1744.0,0.559499999999999,0.2,2.4,41.65650000000007,156.1,0.7,17.7,1.9955,6.2,8.4,36.0,19.4,9.672500000000019,4.3,45.3,48.6,64.0,28.6,58.9,0.35334999999999916,46.6,13.662000000000003,13.7,12.757499999999999,2.3,9.850500000000022,37.6,0.2540000000000005,66.0,10.0,11.796991583333332,14.051133916666664,9.323590250000002
2002,2242.0,92.0,40.3,53.3,11.7,219.0,-5.7,0.28,2071.0,1336.2,2.64,1746.0,0.6169999999999987,0.2,2.3,41.65650000000007,154.8,0.7,16.6,2.0245,6.2,6.0,34.0,20.0,9.862000000000023,4.1,43.6,50.2,64.6,30.2,59.2,-1.41,45.7,20.471999999999994,13.6,42.294999999999874,2.5,9.850500000000022,34.8,0.2545000000000005,65.0,9.0,17.4717005,22.07074991666667,47.40249941666665
2003,2243.0,94.0,43.0,56.0,13.7,227.0,-4.1,0.28,2112.0,1507.1,2.72,1747.0,0.6,0.2,2.3,41.65650000000007,152.7,0.8,15.6,1.9400000000000017,6.1,6.2,17.0,20.7,11.7,3.9,42.1,51.8,65.1,31.7,59.6,-1.15,44.8,22.928500000000003,13.4,44.12399999999988,2.6,9.850500000000022,32.4,0.2545000000000005,63.0,11.0,25.68870125,30.14924233333333,48.25949041666666
2004,2246.0,96.0,46.0,58.7,15.7,238.0,-2.0,0.28,2153.0,1696.9,2.85,1749.0,0.6264999999999988,0.2,2.2,41.86600000000009,149.9,0.9,14.7,1.942000000000002,6.0,4.3,11.0,21.1,10.407500000000017,3.7,40.6,53.5,65.7,33.4,59.9,-0.99,43.9,22.971499999999995,13.3,44.12399999999988,2.8,9.84400000000002,30.2,0.2565000000000005,62.0,13.0,29.444192916666665,31.51327591666667,15.472116666666668
2005,2248.0,98.0,49.0,61.7,18.3,256.0,-1.5,0.28,2200.0,1912.0,2.89,1751.0,0.6144999999999992,0.2,2.1,41.71550000000009,146.6,0.9,13.6,1.954500000000002,5.9,5.9,15.0,21.4,11.051500000000008,3.5,39.1,55.2,66.2,35.0,60.2,-0.9,43.0,22.61649999999999,13.2,44.12399999999988,3.0,9.84400000000002,27.8,0.26050000000000056,60.0,13.0,31.086035500000005,34.4656345,5.568461250000001
2006,2250.0,100.0,52.7,64.7,20.7,276.0,-1.5,0.28,2263.0,2146.6,3.01,1752.0,0.4434999999999994,0.2,2.0,41.71550000000009,142.6,1.0,12.2,2.0480000000000023,5.8,4.7,19.0,21.4,10.301500000000017,3.3,37.7,56.9,66.8,36.7,60.5,-0.85,42.1,23.68499999999999,13.1,43.71099999999987,3.2,9.84400000000002,24.8,0.25800000000000056,58.0,10.0,35.95435066666667,41.357550666666654,15.578687249999994
2007,2253.0,104.0,56.7,68.3,23.3,298.0,-2.1,0.28,2343.0,2388.4,3.04,1755.0,0.4389999999999994,0.2,1.9,35.69350000000008,138.4,1.1,10.5,2.0510000000000024,5.7,8.6,16.0,21.4,9.804500000000012,3.1,36.4,58.7,67.3,38.4,60.8,-1.06,41.3,27.586999999999968,13.0,43.71099999999987,3.4,9.84400000000002,21.2,0.2565000000000006,57.0,9.0,46.41805691666667,55.84286625000001,28.885055250000004
2008,2257.0,107.0,62.0,71.7,26.0,313.0,-2.7,0.28,2412.0,2617.1,3.09,1758.0,0.3799999999999997,0.2,1.8,17.665999999999997,134.2,1.1,9.2,2.093000000000002,5.7,12.1,16.0,21.1,8.86250000000001,2.9,35.2,60.5,67.8,40.1,61.1,-1.09,40.5,27.057999999999996,12.9,43.77149999999987,3.6,9.833000000000022,18.4,0.25750000000000056,54.0,9.0,61.02902358333335,70.80849608333331,31.61460341666667
2009,2261.0,111.0,66.4,75.7,29.0,323.0,-2.8,0.28,2512.0,2874.8,3.17,1761.0,0.4,0.1,1.7,16.609999999999992,130.3,1.2,7.6,2.1530000000000014,5.6,15.9,31.0,21.2,7.9,2.7,34.1,62.3,68.3,41.9,61.0,-1.29,40.0,23.6,12.8,44.22699999999986,3.8,9.833000000000022,15.1,0.2645000000000005,53.0,11.0,70.61603825,71.85104,16.230458916666667
