Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2161.0,109.65,47.19849999999997,54.38150000000006,19.761500000000016,190.23529411764707,24.552999999999983,0.3,2544.315789473684,4453.8,3.22,1694.0,0.6110000000000013,0.3,3.8,42.01250000000011,498.1,1.4,15.228000000000035,3.0649999999999977,4.9,7.803500000000023,38.0,27.79000000000001,8.146500000000005,2.4,35.7,86.0,61.1,36.3,43.2,-1.39,25.0,21.62600000000001,21.5,41.20349999999991,3.3,4.075500000000004,18.426999999999975,0.21750000000000028,58.535,7.095,50.99826533333332,55.13615675,4.3178299399999895
2001,2163.0,110.0,47.7,53.7,22.0,192.0,25.5,0.3,2374.0,4492.7,3.22,1695.0,0.6415000000000015,0.3,3.9,42.01250000000011,500.4,1.5,14.9,3.0649999999999977,4.9,10.2,38.0,27.6,7.920500000000003,2.4,35.3,86.3,61.5,36.4,43.5,0.31264999999999976,24.3,21.808000000000007,21.4,41.20349999999991,3.4,4.075500000000004,18.7,0.2160000000000003,57.0,6.0,52.83749416666666,58.11503166666668,3.6137593333333338
2002,2165.0,110.0,46.7,54.0,22.0,194.0,24.7,0.3,2373.0,4562.8,3.27,1697.0,0.7205000000000006,0.3,3.9,42.01250000000011,501.2,1.6,15.0,2.995499999999999,4.9,7.4,28.0,27.9,8.350500000000004,2.5,35.0,86.7,61.9,38.4,43.9,-0.86,23.8,28.9195,21.3,40.278999999999904,3.6,4.075500000000004,18.4,0.21650000000000028,57.0,6.0,53.89155491666667,59.697371499999996,1.9967001666666664
2003,2168.0,111.0,46.3,54.7,22.3,196.0,22.8,0.29,2402.0,4697.5,3.28,1699.0,0.7,0.3,3.9,42.01250000000011,500.4,1.7,14.2,2.9759999999999995,4.9,5.2,25.0,27.9,6.0,2.5,34.6,87.1,62.3,40.5,44.2,-1.56,23.3,34.0,21.2,40.278999999999904,3.7,2.925499999999998,17.1,0.21650000000000028,58.0,6.0,54.42934108333335,61.051950500000004,0.99821925
2004,2171.0,112.0,45.7,55.3,22.7,197.0,21.2,0.29,2428.0,4908.1,3.22,1701.0,0.7210000000000005,0.3,3.9,42.01250000000011,498.3,1.9,13.7,2.9349999999999987,4.9,0.9,19.0,27.9,8.130500000000005,2.6,34.3,87.5,62.7,42.6,44.6,-1.71,22.8,28.53549999999999,21.1,39.8244999999999,3.9,2.5789999999999935,16.2,0.21650000000000028,59.0,6.0,57.72059266666666,63.97688208333333,6.034824583333332
2005,2175.0,114.0,46.3,56.7,23.0,199.0,21.7,0.29,2468.0,5054.2,3.25,1703.0,0.7155000000000006,0.3,3.9,42.01250000000011,495.3,2.0,12.9,2.9064999999999994,4.9,1.1,23.0,27.8,7.389500000000003,2.7,34.0,87.9,63.1,44.2,44.9,-1.18,22.2,26.723499999999987,21.0,39.8244999999999,4.1,2.494999999999994,14.9,0.21700000000000028,60.0,6.0,61.37753891666667,68.19645525,6.356637833333334
2006,2181.0,115.0,47.7,57.7,23.7,203.0,22.2,0.29,2504.0,5228.3,3.25,1707.0,0.7130000000000005,0.3,3.8,42.01250000000011,491.4,2.1,12.3,2.8944999999999994,4.8,0.7,23.0,27.7,6.921000000000007,2.8,33.7,88.3,63.5,44.7,45.3,-1.64,21.8,27.798,20.9,39.8244999999999,4.2,2.4259999999999944,14.0,0.21500000000000022,60.0,6.0,64.5450995,71.92454408333333,5.1698045
2007,2188.0,116.0,49.0,58.7,24.3,208.0,22.0,0.29,2540.0,5474.7,3.3,1712.0,0.7155000000000004,0.3,3.8,42.01250000000011,487.6,2.3,11.7,2.898999999999999,4.8,1.2,30.0,27.6,6.766500000000003,2.9,33.4,88.7,64.7,44.8,46.2,-1.6,21.1,29.283,20.8,39.78849999999989,4.4,2.4259999999999944,13.1,0.21450000000000025,59.0,8.0,66.93824816666667,74.04032441666666,3.7032716666666654
2008,2197.0,117.0,50.0,59.3,25.0,211.0,22.4,0.29,2567.0,5618.5,3.31,1718.0,0.7,0.3,3.7,41.72250000000012,484.0,2.4,11.4,2.898999999999999,4.7,4.1,41.0,27.7,6.6,2.9,33.1,89.1,66.0,45.0,47.2,-1.78,20.2,33.0,20.7,39.73049999999989,4.6,2.4279999999999946,12.6,0.2,59.0,9.0,75.60736166666666,80.09996741666666,12.930978083333335
2009,2205.0,117.0,50.7,60.0,25.0,209.0,22.9,0.29,2569.0,5606.6,3.37,1723.0,0.7530000000000007,0.3,3.6,41.72250000000012,481.3,2.6,11.8,2.898999999999999,4.6,5.8,31.0,28.3,6.923999999999993,3.0,32.9,89.5,67.2,45.1,48.2,-1.73,19.5,32.58650000000001,20.6,40.313499999999884,4.8,2.4299999999999944,12.8,0.21450000000000025,59.0,10.0,80.35601383333334,83.47442724999998,6.404638333333334
