Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2445.0,113.94,61.733500000000085,65.86100000000006,25.627999999999993,4.764705882352941,86.25200000000004,0.21120000000000064,2978.913157894739,56106.7,3.168299999999997,1888.0,0.1,0.1,0.1,0.8010000000000006,4.9,0.1,4.657000000000005,0.7719999999999984,0.1,2.7170000000000005,28.85,38.58099999999991,3.6,3.0,4.4,99.0,99.0,99.0,99.0,1.14,12.3,22.83050000000001,9.8,37.87649999999988,4.4,1.1015,9.591000000000003,0.506,48.81,2.0,72.30195075,75.25475908333333,0.5048382729166678
2001,2449.0,113.94,61.6850000000001,65.86100000000006,25.627999999999993,5.0,86.25200000000004,0.21120000000000064,2978.61210526316,54029.7,3.2130999999999985,1891.0,0.11400000000000027,0.1,0.1,0.7330000000000005,4.8,0.1,4.657000000000005,0.7719999999999984,0.1,3.0,31.22,38.58099999999991,4.674500000000012,3.0,4.3,99.0,99.0,99.0,99.0,1.197749999999996,12.1,22.83050000000001,9.8,37.87649999999988,4.5,1.1015,9.521500000000003,0.506,48.865,2.0,72.67540749999998,76.00519783333334,0.516552
2002,2452.0,113.97,61.6950000000001,65.86250000000005,25.627999999999993,5.0,86.13400000000006,0.21120000000000064,2976.6868421052645,55634.7,3.1780500000000003,1893.0,0.11400000000000027,0.1,0.1,0.7330000000000005,4.7,0.1,4.643000000000006,0.7779999999999982,0.1,2.5,28.17,38.58699999999991,4.748000000000012,3.1,4.2,99.0,99.0,99.0,99.0,1.26,11.9,28.855999999999995,9.8,37.82899999999988,4.6,1.1015,9.521500000000003,0.507,48.865,2.0,72.83746500000002,75.70750341666667,0.22318441666666666
2003,2455.0,113.975,61.7165000000001,65.89500000000005,25.629999999999992,6.0,86.28100000000002,0.21120000000000064,2978.326842105265,59022.1,3.173899999999998,1894.0,0.11400000000000027,0.1,0.1,0.7330000000000005,4.6,0.2,4.521000000000006,0.39299999999999957,0.1,2.5,31.985,38.65799999999992,4.778500000000012,3.1,4.1,99.0,99.0,99.0,99.0,0.88,11.8,29.150499999999994,9.7,37.236499999999886,4.7,1.1015,9.580500000000002,0.507,48.865,2.0,73.07686775,76.09202558333334,0.32868116666666664
2004,2458.0,113.985,61.7345000000001,65.98000000000005,25.63499999999999,6.0,86.01350000000001,0.21120000000000064,2975.9642105263174,64011.4,3.1878000000000033,1896.0,0.11400000000000027,0.1,0.1,0.7330000000000005,4.6,0.2,4.322500000000003,0.22950000000000104,0.1,2.4,41.67,38.70649999999991,5.066500000000014,3.2,4.0,99.0,99.0,99.0,99.0,1.09,11.7,29.420999999999996,9.7,37.04999999999989,4.8,1.1015,9.602500000000003,0.507,48.915,2.0,74.09340999999999,77.35722841666666,1.3903365
2005,2461.0,113.81,61.7445000000001,78.50700000000003,26.49599999999999,6.0,85.98700000000001,0.21120000000000064,2972.555263157896,67125.6,3.170449999999999,1899.0,0.11400000000000027,0.1,0.1,0.5304999999999999,4.6,0.2,3.886,0.22950000000000104,0.1,1.6,41.535,38.7869999999999,4.87300000000001,3.2,3.9,99.0,99.0,99.0,99.0,1.16,11.7,27.484999999999985,9.7,37.04999999999989,4.9,1.1015,9.519000000000004,0.508,48.915,2.0,72.3939395,77.68273,-2.2917995
2006,2470.0,113.815,61.823500000000095,83.89200000000004,26.714499999999994,5.0,85.8190000000001,0.21120000000000064,2970.217368421054,70916.0,3.103399999999997,1904.0,0.11400000000000027,0.1,0.1,0.32849999999999996,4.6,0.2,3.7230000000000016,0.20850000000000102,0.1,1.3,32.58,38.74749999999991,4.85550000000001,3.3,3.8,99.0,99.0,99.0,99.0,1.25,11.6,29.351999999999997,9.7,37.04999999999989,5.0,1.1015,9.577500000000004,0.5095000000000001,48.9,2.0,73.81223841666667,78.43073833333331,1.9596963333333333
2007,2479.0,113.75,61.8545000000001,83.79800000000002,26.708999999999996,5.0,84.3180000000002,0.21120000000000064,2970.227368421054,74159.4,3.0905499999999932,1910.0,0.11400000000000027,0.1,0.1,0.2775,4.6,0.2,3.605500000000004,0.20850000000000102,0.1,1.1,25.63,38.50199999999991,5.165000000000012,3.4,3.7,99.0,99.0,99.0,99.0,1.17,11.5,30.130000000000006,9.7,37.77999999999989,5.1,1.1015,9.577500000000004,0.5095000000000001,48.87,2.0,76.79215275000001,80.08161125,4.0310991666666665
2008,2488.0,113.575,61.8495000000001,84.73399999999997,26.705499999999997,5.0,82.84950000000008,0.21120000000000064,2969.492368421054,71629.8,3.1067499999999972,1915.0,0.11400000000000027,0.1,0.1,0.2745,4.7,0.2,3.619000000000004,0.20850000000000102,0.2,1.2,27.375,38.366999999999905,5.727500000000007,3.5,3.5,99.0,99.0,99.0,99.0,1.35,11.5,31.400500000000008,9.7,37.89799999999989,5.2,1.1015,9.504000000000007,0.511,48.82,2.0,84.25423516666666,85.38924575,9.732986666666667
2009,2495.0,113.515,61.8005000000001,84.77150000000003,26.73349999999999,4.0,85.54299999999995,0.21120000000000064,2970.247368421054,69585.8,3.107199999999998,1920.0,0.11400000000000027,0.1,0.1,0.23350000000000037,4.7,0.2,3.579000000000002,0.20850000000000102,0.2,1.5,34.715,38.33899999999991,5.545000000000004,3.7,3.4,99.0,99.0,99.0,99.0,1.18,11.4,29.457000000000015,9.7,38.363499999999895,5.3,1.1015,9.365500000000006,0.5175000000000001,48.835,2.0,86.37982591666668,85.89878058333333,2.5671424166666665
