Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2416.0,107.81,55.45699999999999,57.711500000000015,24.261000000000077,349.5882352941176,6.165499999999997,0.28,2733.2105263157896,9809.6,2.99,1867.0,0.2540000000000001,0.3,0.8,17.092500000000015,123.6,1.6,10.634500000000003,2.7264999999999953,3.9,11.970499999999994,45.0,37.347999999999885,6.050000000000015,6.4,16.9,93.9,92.4,66.51699999999998,19.9,0.46,21.0,12.626000000000017,13.5,12.434999999999993,3.7,4.6945000000000014,16.614000000000047,0.8,49.885,2.845,56.27498225,70.09871433333332,1.8493860466666632
2001,2421.0,107.0,55.0,58.0,22.3,332.0,-39.9,0.28,2585.0,10053.8,2.93,1871.0,0.2540000000000001,0.3,0.8,17.092500000000015,115.5,1.8,11.0,2.585499999999996,3.9,11.7,41.0,36.7,6.044000000000015,6.7,16.7,94.3,92.7,66.51799999999997,20.1,0.44480000000000025,21.0,12.626000000000017,12.9,12.401999999999994,3.9,4.5705,17.3,0.8240000000000013,50.0,2.0,56.20689741666666,71.23915658333334,-0.11932941666666665
2002,2426.0,108.0,56.0,57.7,22.3,343.0,-45.5,0.27,2605.0,10583.8,2.93,1874.0,0.23300000000000026,0.3,0.7,17.588500000000018,108.9,1.9,10.5,2.720999999999995,3.9,12.0,40.0,37.9,6.266500000000017,6.9,16.6,94.7,93.0,66.52249999999997,20.2,0.51,21.0,12.183500000000013,12.4,12.965999999999992,4.2,4.4465,16.4,0.8275000000000015,49.0,2.0,56.48303983333333,71.73591358333333,0.4915378333333333
2003,2430.0,109.0,57.0,58.0,22.7,344.0,-50.9,0.27,2637.0,11260.2,2.9,1877.0,0.22800000000000026,0.3,0.7,17.588500000000018,103.5,2.1,9.7,2.720999999999995,4.0,11.7,38.0,39.0,6.345000000000018,7.1,16.5,95.1,93.3,66.69549999999997,20.3,-0.14,21.1,11.673500000000015,11.9,12.96849999999999,4.4,4.4115,15.0,0.8285000000000018,49.0,2.0,57.67568966666667,73.03028033333331,2.110681833333333
2004,2434.0,110.0,57.3,58.7,23.0,342.0,-49.2,0.27,2673.0,11886.3,2.87,1879.0,0.2270000000000003,0.3,0.7,17.588500000000018,99.1,2.2,8.9,2.7089999999999947,4.0,10.4,18.0,39.9,6.056000000000019,7.3,16.5,95.5,93.5,70.19599999999996,20.5,-0.72,21.1,11.029000000000012,11.6,12.99249999999999,4.7,4.431500000000001,13.7,0.8340000000000019,50.0,2.0,60.04720608333334,75.04529491666669,4.109272
2005,2438.0,112.0,57.7,59.3,23.3,338.0,-46.0,0.26,2726.0,12304.4,2.9,1882.0,0.2270000000000003,0.3,0.7,17.588500000000018,95.7,2.4,7.8,2.8584999999999927,4.0,8.0,18.0,40.7,5.864000000000019,7.5,16.4,95.9,93.8,90.135,20.8,-0.87,21.3,5.4,11.4,13.762499999999983,5.0,4.431500000000001,11.9,0.8735000000000029,51.0,2.0,62.910637,78.45262833333334,4.766872666666667
2006,2441.0,113.0,59.3,59.7,23.7,349.0,-41.7,0.26,2762.0,12837.9,2.83,1884.0,0.2,0.3,0.7,17.588500000000018,93.0,2.7,7.0,3.4184999999999905,4.1,14.5,25.0,41.5,4.7,7.7,16.2,96.3,94.1,94.02650000000003,21.2,-1.13,21.4,11.800500000000005,11.2,13.778999999999975,5.4,4.513,10.6,0.893500000000003,50.0,2.0,65.90368824999999,82.09084875,4.759274499999999
2007,2443.0,113.0,59.7,58.7,23.3,361.0,-47.6,0.26,2767.0,13460.1,2.89,1885.0,0.2260000000000003,0.3,0.7,17.318999999999996,90.8,2.8,6.7,3.4139999999999913,4.1,15.1,42.0,41.9,5.844500000000016,7.9,16.0,96.7,94.4,94.46300000000006,21.5,-1.11,21.6,12.557500000000005,11.0,14.305999999999974,5.7,5.954999999999997,10.2,0.9,50.0,2.0,68.72234108333333,83.93094875000001,4.278901
2008,2445.0,112.0,59.3,58.0,22.7,373.0,-50.1,0.25,2737.0,13620.5,2.72,1887.0,0.2310000000000003,0.3,0.6,15.307999999999998,89.0,3.1,7.1,3.33499999999999,4.1,16.0,41.0,41.7,6.211500000000012,8.1,15.7,97.0,94.8,94.54300000000018,21.9,-1.27,21.6,16.295999999999978,10.9,14.354999999999976,6.1,5.954999999999997,10.6,0.8990000000000029,49.0,2.0,74.35092716666666,88.52070408333331,8.165791833333332
2009,2446.0,112.0,58.3,58.0,22.3,374.0,-45.7,0.25,2734.0,13458.5,2.69,1888.0,0.2569999999999999,0.3,0.6,13.743999999999998,87.5,3.3,6.9,3.3249999999999904,4.1,12.2,40.0,41.2,6.255500000000012,8.3,15.3,97.4,95.1,94.58650000000014,22.2,-1.42,21.7,15.1,10.9,14.473499999999976,6.5,5.954999999999997,10.4,0.8965000000000032,50.0,2.0,79.29053641666667,87.74855133333334,6.720350666666665
