Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2323.0,,,,,,,0.21,,69022.9,3.13,1802.0,,0.1,0.1,,0.7,,,,,,51.0,,,6.2,20.9,99.0,,,,1.3,17.1,,10.3,,7.2,,,,,,89.31218899999999,95.14298200000002,
2001,2329.0,123.0,75.7,87.4,45.4,81.0,100.0,0.21,2859.0,69483.9,3.29,1806.0,,0.1,0.1,,0.7,,0.1,,,7.5,63.0,50.0,,6.4,21.0,99.0,,,,,16.6,,9.5,,7.5,,2.6,,50.0,5.0,89.91182149999999,95.70993016666664,0.671642
2002,2337.0,125.0,78.7,89.7,47.7,85.0,99.6,0.21,2923.0,70771.6,3.16,1812.0,,0.1,0.1,,0.6,,0.0,,,6.9,31.0,50.0,,6.6,21.0,99.0,,,,1.16,16.3,,9.2,,7.9,,2.5,,48.0,4.0,90.28605766666668,93.49427166666668,0.4162976666666667
2003,2345.0,127.0,81.7,90.3,48.3,86.0,95.7,0.21,2971.0,71483.2,3.17,1817.0,,0.1,0.1,,0.6,,0.0,,,6.7,40.0,50.0,,6.8,20.9,99.0,,,,1.15,16.0,,9.1,,8.2,,2.5,,47.0,4.0,90.03375899999999,93.74358966666667,-0.27912608333333333
2004,2352.0,127.0,81.0,88.6,47.3,76.0,93.8,0.21,2996.0,70616.6,3.22,1822.0,,0.1,0.1,,0.6,,0.0,,,4.2,59.0,50.0,,7.0,20.7,99.0,,,,1.37,15.7,,9.2,,8.6,,2.5,,46.0,4.0,90.48588699999999,94.53049983333334,0.5037815833333333
2005,2360.0,127.0,79.3,87.3,47.0,79.0,98.1,0.21,3006.0,69787.8,3.18,1827.0,,0.1,0.1,,0.6,,0.0,,,6.4,65.0,50.0,,7.1,20.5,99.0,,,,1.21,15.5,,9.5,,9.0,,2.5,,47.0,3.0,91.39391066666667,95.71874583333334,1.0049734166666666
2006,2365.0,126.0,78.7,85.0,45.7,84.0,91.1,0.21,2990.0,71843.5,3.04,1831.0,,0.1,0.1,,0.6,,0.0,,,18.3,39.0,42.9,,7.3,20.2,99.0,,,,1.12,15.5,,9.9,,9.4,,2.5,,47.0,3.0,91.74807783333331,95.8654059166667,0.3875989166666667
2007,2372.0,126.0,79.4,84.7,46.0,98.0,87.6,0.21,2981.0,71051.7,3.03,1835.0,,0.1,0.1,,0.7,,0.0,,,17.2,22.0,37.5,,7.5,19.8,99.0,96.3,,,1.11,15.4,,10.4,,9.8,,2.5,,46.0,3.0,92.94998475000001,96.79159549999999,1.3095505
2008,2378.0,125.0,80.0,83.7,45.3,99.0,83.5,0.21,2967.0,68856.2,3.12,1840.0,,0.1,0.1,,0.7,,0.0,,,14.6,37.0,30.0,,7.7,19.3,99.0,96.3,,,1.13,15.2,,10.9,,10.2,,2.5,,45.0,3.0,96.40876408333334,98.81056108333333,3.7160902500000006
2009,2384.0,125.0,80.3,84.3,45.7,101.0,90.9,0.21,2976.0,66851.1,3.05,1843.0,0.1,0.1,0.1,,0.7,,0.0,,,13.5,44.0,27.3,2.9,7.9,18.8,99.0,96.3,,,1.39,15.0,,11.4,,10.7,,2.5,,45.0,3.0,99.14245941666668,99.83239858333332,2.8541022500000004
