Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2155.0,,,,,,,0.27,,1481.7,2.78,1692.0,0.3,0.1,0.8,,52.4,0.1,,,1.7,,77.0,,17.1,3.2,51.1,52.6,9.8,17.0,,-0.78,53.9,10.8,15.4,,1.5,,,0.3,,,36.10881783333333,51.938864833333334,
2001,2169.0,101.0,30.0,53.4,15.4,145.0,3.9,0.27,2196.0,1570.1,2.89,1700.0,,0.1,0.8,,50.9,0.1,2.9,,1.7,5.0,53.0,7.7,,3.1,49.8,54.2,12.3,17.5,,,52.8,,15.1,,1.6,,23.6,0.3,76.0,7.0,38.818498749999996,51.60293158333334,7.617519666666666
2002,2180.0,103.0,31.0,54.3,15.6,150.0,3.5,0.27,2245.0,1642.6,2.72,1707.0,,0.1,0.7,,49.7,0.1,2.7,,1.7,5.8,65.0,7.8,,3.0,48.6,55.8,15.0,18.0,,-0.73,51.8,,14.7,,1.7,,21.2,0.3,74.0,6.0,39.83047133333333,51.712054583333334,2.633175
2003,2190.0,104.0,31.7,53.3,14.3,151.0,3.3,0.26,2280.0,1752.0,2.81,1713.0,,0.1,0.7,,48.8,0.1,2.5,,1.7,11.4,65.0,8.0,,2.9,47.3,57.4,17.8,18.4,,-0.65,50.9,,14.4,,1.8,,19.4,0.4,73.0,5.0,40.375958499999996,52.19905074999999,1.4036868333333334
2004,2199.0,105.0,32.7,54.3,14.0,168.0,2.6,0.26,2302.0,1902.1,2.74,1718.0,,0.1,0.7,,48.2,0.1,2.4,,1.7,11.2,49.0,8.6,,2.8,46.1,59.1,20.5,18.9,,-0.41,50.0,,14.1,,1.9,,18.5,0.4,72.0,6.0,43.55421175000001,54.45370375000001,7.862858166666666
2005,2208.0,106.0,34.0,56.7,15.4,182.0,1.8,0.26,2341.0,2120.6,2.83,1723.0,0.1,0.1,0.7,,48.0,0.1,2.3,,1.7,11.2,34.0,9.0,8.5,2.7,44.8,60.3,23.3,19.4,,-0.4,49.2,60.0,13.8,,2.0,,17.0,,72.0,8.0,47.720583000000005,58.055957250000006,9.584247416666667
2006,2217.0,107.0,35.0,59.7,17.0,201.0,1.2,0.26,2377.0,2313.3,2.96,1728.0,,0.1,0.7,,47.8,0.2,2.1,,1.8,11.9,24.0,9.5,,2.6,43.5,61.2,26.1,19.9,,-0.35,48.3,,13.6,,2.2,,15.6,,72.0,10.0,51.38666741666666,61.4294065,7.812020749999999
2007,2225.0,108.0,35.3,60.7,17.7,213.0,-0.8,0.26,2400.0,2511.9,2.93,1732.0,,0.1,0.7,,47.8,0.2,2.0,,1.8,15.2,19.0,9.6,,2.5,42.1,62.1,29.0,20.3,,-0.36,47.6,,13.4,,2.3,,14.8,,72.0,11.0,58.53134416666668,66.77918758333334,13.78019725
2008,2231.0,108.0,34.7,61.0,17.7,222.0,-1.3,0.26,2412.0,2640.6,2.91,1736.0,0.1,0.1,0.7,,47.6,0.2,2.0,,1.8,14.1,14.0,9.6,9.1,2.4,40.6,63.0,31.9,20.8,,-0.3,47.0,65.9,13.2,,2.4,,14.5,,71.0,12.0,77.86229591666667,82.87086950000001,33.628242666666665
2009,2236.0,109.0,34.0,61.3,17.3,234.0,-2.3,0.26,2431.0,2603.6,2.96,1739.0,,0.1,0.6,,47.4,0.2,2.0,,1.8,15.1,17.0,9.5,,2.3,39.1,63.9,34.8,21.4,,-0.56,46.6,,13.0,,2.6,,13.9,,71.0,12.0,77.02883683333333,81.84184741666667,-0.7937115833333331
2010,2241.0,109.0,33.7,62.7,18.0,253.0,-1.3,0.26,2453.0,2716.7,2.93,1742.0,0.2,0.1,0.6,,47.1,0.2,1.9,,1.8,3.3,22.0,9.4,11.0,2.3,37.5,64.7,37.8,21.9,,-0.5,46.3,72.8,12.9,,2.7,,13.3,,71.0,10.0,80.3203775,85.11257116666668,4.34402925
2011,2247.0,110.0,33.3,63.3,18.0,270.0,-1.1,0.26,2476.0,2862.9,2.97,1747.0,,0.1,0.6,,46.6,0.3,1.8,,1.8,2.7,25.0,9.3,,2.2,35.9,65.5,40.9,22.5,,-0.3,46.1,,12.7,,2.9,,12.7,,71.0,8.0,85.52864941666667,89.77541874999999,6.474133583333334
2012,2251.0,111.0,34.0,64.3,18.7,281.0,-1.3,0.26,2503.0,3022.6,2.91,1751.0,,0.1,0.6,,46.1,0.3,1.8,,1.9,11.2,18.0,9.3,,2.1,34.4,66.3,43.9,23.1,,-0.1,46.1,,12.6,,3.1,,12.0,,71.0,6.0,88.23971300000001,92.40971325,3.2437319166666665
2013,2256.0,113.0,34.7,65.0,18.7,281.0,-2.5,0.26,2549.0,3191.9,2.9,1756.0,,0.1,0.6,,45.5,0.3,1.6,,1.9,11.4,15.0,9.3,,2.1,33.0,67.1,47.0,23.7,,-0.14,46.2,,12.4,,3.3,,10.8,,70.0,6.0,91.66408266666667,95.12806049999999,3.8704925000000006
2014,2260.0,115.0,35.7,65.3,18.7,279.0,-4.6,0.26,2595.0,3364.3,2.9,1759.0,0.2,0.1,0.6,,45.0,0.3,1.5,,1.9,11.0,10.0,9.2,9.7,2.1,32.0,67.8,50.0,24.2,,0.02,46.4,65.2,12.2,,3.5,,9.6,,70.0,6.0,96.144921,98.79590216666668,4.905246833333333
2015,2261.0,116.0,36.0,65.3,18.3,281.0,-6.3,0.26,2623.0,3546.3,2.9,1761.0,,0.1,0.6,7.6,44.6,0.4,1.4,2.6,2.0,13.1,24.0,9.1,,2.0,31.3,68.4,53.1,24.8,,0.06,46.5,,12.1,48.9,3.7,16.9,8.9,,70.0,7.0,100.01284533333332,100.00509691666666,4.0260117499999994
2016,2263.0,116.0,35.7,65.3,18.3,187.0,-7.4,0.26,2631.0,3733.5,2.9,1762.0,,0.1,0.5,7.2,,0.4,1.3,2.2,2.0,19.0,27.0,9.1,,2.0,30.7,69.1,56.2,25.4,,0.21,46.7,,,45.4,3.9,14.3,8.5,,69.0,10.0,105.606004,103.02439058333334,5.587769916666667
2017,2265.0,118.0,35.3,65.3,18.7,94.0,-7.6,0.25,2657.0,3928.4,2.9,1763.0,,0.1,0.5,7.2,,,1.2,2.2,2.0,17.7,27.0,9.1,,2.0,30.4,69.7,59.3,26.0,,0.09,46.8,,,44.9,,14.0,7.7,,69.0,12.0,109.18388800000002,106.02511558333333,3.4169260000000006
2018,2266.0,119.0,,,,,,0.25,2683.0,4159.3,2.9,1764.0,,0.1,0.5,7.2,,,1.1,2.2,2.1,,27.0,,,2.0,30.2,70.3,62.5,26.6,,0.11,47.0,,,44.1,,13.6,6.8,,,12.0,111.86396708333336,108.6323635,2.4547404166666666
2019,2268.0,120.0,,,,,,0.24,2709.0,4388.8,2.9,1765.0,,0.1,0.5,7.4,,,1.0,2.2,2.1,,26.0,,,2.0,30.0,70.8,65.6,27.2,,-0.08,47.1,,,44.8,,13.4,6.2,,,,114.18010925,110.74262849999998,2.070483249999999
2020,2271.0,,,,,,,0.24,,4191.9,2.9,1767.0,,0.1,0.5,,,,,,,,,,,2.1,29.9,71.2,68.8,27.8,,,,,,,,,,,,,119.48582441666667,113.99878883333334,4.644016333333334
