Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,10.795567083333333,11.602793083333333,
2001,11.796991583333332,14.051133916666666,9.323590250000002
2002,17.4717005,22.070749916666667,47.40249941666665
2003,25.688701249999998,30.149242333333333,48.259490416666665
2004,29.444192916666665,31.513275916666668,15.472116666666667
2005,31.086035500000005,34.4656345,5.568461250000001
2006,35.95435066666667,41.35755066666666,15.578687249999996
2007,46.41805691666667,55.84286625000001,28.885055250000004
2008,61.02902358333335,70.80849608333332,31.614603416666668
2009,70.61603825,71.85104,16.230458916666663
2010,73.33459275000001,77.39677775,3.8502414166666665
2011,76.05314716666666,81.28322608333333,3.7074777500000002
2012,78.77170174999999,82.47612500000001,3.57492375
2013,82.85344008333333,87.13028474999999,5.159165333333333
2014,88.55862508333333,91.44610858333333,6.931077750000001
2015,100.18520333333333,100.09158074999999,13.05069425
2016,109.42877533333335,107.02675141666668,9.427205833333334
2017,114.23840433333334,111.92058883333333,4.484645583333333
2018,121.75126675,119.61213966666666,6.561484916666668
2019,132.71482899999998,130.167991,9.023918333333334
2020,136.44571025,135.09810199999998,2.8597389166666667
2021,140.81617322222223,140.4650945555556,3.5354158888888887
