Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2265.0,,,,,,,0.27,,5689.3,3.67,1761.0,1.2,0.8,8.8,,515.9,3.5,,,19.3,,42.0,,5.5,4.0,41.5,75.3,38.0,,,-2.0,33.3,,11.2,,2.6,,,,,,27.47263975,33.26962083333333,
2001,2267.0,106.0,44.3,52.3,12.0,166.0,12.8,0.28,2409.0,5816.4,3.73,1763.0,1.2,0.9,8.7,,518.1,3.8,41.1,,19.1,9.1,47.0,28.4,5.4,4.2,40.7,76.3,40.2,,,,32.4,,11.1,,2.8,,19.2,,71.0,4.0,29.788411166666666,37.095665833333335,8.468477583333332
2002,2268.0,107.0,45.7,52.7,12.3,173.0,12.6,0.28,2421.0,5996.2,3.78,1764.0,,1.0,8.7,,521.0,4.2,41.6,,19.0,4.9,40.0,28.7,,4.4,40.0,77.2,42.4,,,-1.58,31.7,38.7,11.0,,3.0,,19.1,,70.0,4.0,33.013109750000005,41.510091666666675,10.878485416666665
2003,2270.0,108.0,46.7,53.3,12.7,181.0,13.3,0.28,2438.0,6198.7,3.83,1765.0,,1.0,8.6,,523.0,4.5,41.6,,18.8,2.4,33.0,27.9,,4.7,39.4,78.2,44.7,,,-2.09,30.9,,10.8,,3.2,,18.9,,69.0,5.0,33.37113183333333,44.31506083333333,1.1046665833333333
2004,2271.0,108.0,47.7,53.3,13.0,187.0,11.5,0.29,2446.0,6423.7,3.88,1766.0,3.2,1.1,8.6,,524.8,4.9,42.5,,18.5,4.2,20.0,27.8,14.4,4.9,38.8,79.1,47.0,,,-1.91,30.2,,10.7,,3.4,,19.1,,69.0,5.0,35.33716166666667,47.00235249999999,5.929216833333332
2005,2272.0,108.0,48.0,53.7,13.3,194.0,11.7,0.29,2454.0,6699.3,3.93,1767.0,,1.2,8.5,,525.5,5.2,43.5,,18.3,5.2,9.0,28.9,,5.3,38.3,80.0,49.3,,,-1.52,29.5,,10.7,,3.6,,19.2,,69.0,4.0,38.97699958333333,51.915603333333344,10.289273083333335
2006,2275.0,109.0,49.7,54.3,13.7,199.0,12.2,0.29,2473.0,6974.4,3.98,1769.0,,1.3,8.5,,525.5,5.6,43.5,,18.2,4.6,12.0,30.3,,5.6,37.8,80.9,51.6,,,-1.42,28.9,,10.6,,3.8,,19.0,0.2,68.0,5.0,44.76539566666667,58.72105000000001,14.993463666666663
2007,2277.0,110.0,50.7,55.3,14.3,207.0,11.9,0.3,2501.0,7319.4,4.04,1771.0,3.3,1.3,8.4,,525.2,6.2,42.9,,18.1,5.1,13.0,30.5,14.8,6.0,37.3,81.8,54.0,,,-1.2,28.3,31.2,10.5,,4.1,,18.5,0.3,69.0,5.0,49.667219499999995,62.483048333333336,10.969682416666666
2008,2279.0,112.0,51.7,56.3,14.7,213.0,10.5,0.3,2542.0,7657.6,4.09,1773.0,,1.4,8.4,,524.3,6.6,40.9,,18.0,4.0,13.0,29.5,,6.4,36.9,82.7,56.4,,,-1.06,27.7,,10.4,,4.3,,17.4,0.3,69.0,5.0,58.092161499999996,68.87298166666666,16.945852833333333
2009,2280.0,113.0,52.3,57.3,15.3,219.0,10.2,0.3,2583.0,7906.3,4.14,1774.0,,1.6,8.3,,523.2,7.2,36.9,,17.9,4.0,10.0,28.8,,6.8,36.3,83.6,58.8,,,-0.75,27.3,,10.4,,4.6,,15.5,,69.0,5.0,62.14838566666666,71.89403666666666,7.1088674166666665
