Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2239.0,,,,,,,0.28,,1093.8,2.55,1743.0,0.6,0.2,2.4,,156.8,0.6,,,6.3,,38.0,,10.7,4.5,47.0,47.0,63.5,27.1,58.4,-1.67,47.6,10.5,13.9,,2.2,,,,,,10.795567083333333,11.602793083333333,
2001,2240.0,90.0,38.7,51.3,10.7,210.0,-5.4,0.28,2025.0,1204.8,2.57,1744.0,,0.2,2.4,,156.1,0.7,17.7,,6.2,8.4,36.0,19.4,,4.3,45.3,48.6,64.0,28.6,58.9,,46.6,,13.7,,2.3,,37.6,,66.0,10.0,11.796991583333332,14.051133916666666,9.323590250000002
2002,2242.0,92.0,40.3,53.3,11.7,219.0,-5.7,0.28,2071.0,1336.2,2.64,1746.0,,0.2,2.3,,154.8,0.7,16.6,,6.2,6.0,34.0,20.0,,4.1,43.6,50.2,64.6,30.2,59.2,-1.41,45.7,,13.6,,2.5,,34.8,,65.0,9.0,17.4717005,22.070749916666667,47.40249941666665
2003,2243.0,94.0,43.0,56.0,13.7,227.0,-4.1,0.28,2112.0,1507.1,2.72,1747.0,0.6,0.2,2.3,,152.7,0.8,15.6,,6.1,6.2,17.0,20.7,11.7,3.9,42.1,51.8,65.1,31.7,59.6,-1.15,44.8,,13.4,,2.6,,32.4,,63.0,11.0,25.688701249999998,30.149242333333333,48.259490416666665
2004,2246.0,96.0,46.0,58.7,15.7,238.0,-2.0,0.28,2153.0,1696.9,2.85,1749.0,,0.2,2.2,,149.9,0.9,14.7,,6.0,4.3,11.0,21.1,,3.7,40.6,53.5,65.7,33.4,59.9,-0.99,43.9,,13.3,,2.8,,30.2,,62.0,13.0,29.444192916666665,31.513275916666668,15.472116666666667
2005,2248.0,98.0,49.0,61.7,18.3,256.0,-1.5,0.28,2200.0,1912.0,2.89,1751.0,,0.2,2.1,,146.6,0.9,13.6,,5.9,5.9,15.0,21.4,,3.5,39.1,55.2,66.2,35.0,60.2,-0.9,43.0,,13.2,,3.0,,27.8,,60.0,13.0,31.086035500000005,34.4656345,5.568461250000001
2006,2250.0,100.0,52.7,64.7,20.7,276.0,-1.5,0.28,2263.0,2146.6,3.01,1752.0,,0.2,2.0,,142.6,1.0,12.2,,5.8,4.7,19.0,21.4,,3.3,37.7,56.9,66.8,36.7,60.5,-0.85,42.1,,13.1,,3.2,,24.8,,58.0,10.0,35.95435066666667,41.35755066666666,15.578687249999996
2007,2253.0,104.0,56.7,68.3,23.3,298.0,-2.1,0.28,2343.0,2388.4,3.04,1755.0,,0.2,1.9,,138.4,1.1,10.5,,5.7,8.6,16.0,21.4,,3.1,36.4,58.7,67.3,38.4,60.8,-1.06,41.3,,13.0,,3.4,,21.2,,57.0,9.0,46.41805691666667,55.84286625000001,28.885055250000004
2008,2257.0,107.0,62.0,71.7,26.0,313.0,-2.7,0.28,2412.0,2617.1,3.09,1758.0,,0.2,1.8,,134.2,1.1,9.2,,5.7,12.1,16.0,21.1,,2.9,35.2,60.5,67.8,40.1,61.1,-1.09,40.5,,12.9,,3.6,,18.4,,54.0,9.0,61.02902358333335,70.80849608333332,31.614603416666668
2009,2261.0,111.0,66.4,75.7,29.0,323.0,-2.8,0.28,2512.0,2874.8,3.17,1761.0,0.4,0.1,1.7,,130.3,1.2,7.6,,5.6,15.9,31.0,21.2,7.9,2.7,34.1,62.3,68.3,41.9,61.0,-1.29,40.0,23.6,12.8,,3.8,,15.1,,53.0,11.0,70.61603825,71.85104,16.230458916666663
