Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2161.0,,,,,,,0.3,,4453.8,3.22,1694.0,,0.3,3.8,,498.1,1.4,,,4.9,,38.0,,,2.4,35.7,86.0,61.1,36.3,43.2,-1.39,25.0,,21.5,,3.3,,,,,,50.998265333333315,55.13615675,
2001,2163.0,110.0,47.7,53.7,22.0,192.0,25.5,0.3,2374.0,4492.7,3.22,1695.0,,0.3,3.9,,500.4,1.5,14.9,,4.9,10.2,38.0,27.6,,2.4,35.3,86.3,61.5,36.4,43.5,,24.3,,21.4,,3.4,,18.7,,57.0,6.0,52.837494166666666,58.11503166666668,3.6137593333333338
2002,2165.0,110.0,46.7,54.0,22.0,194.0,24.7,0.3,2373.0,4562.8,3.27,1697.0,,0.3,3.9,,501.2,1.6,15.0,,4.9,7.4,28.0,27.9,,2.5,35.0,86.7,61.9,38.4,43.9,-0.86,23.8,,21.3,,3.6,,18.4,,57.0,6.0,53.89155491666667,59.6973715,1.9967001666666666
2003,2168.0,111.0,46.3,54.7,22.3,196.0,22.8,0.29,2402.0,4697.5,3.28,1699.0,0.7,0.3,3.9,,500.4,1.7,14.2,,4.9,5.2,25.0,27.9,6.0,2.5,34.6,87.1,62.3,40.5,44.2,-1.56,23.3,34.0,21.2,,3.7,,17.1,,58.0,6.0,54.42934108333335,61.0519505,0.9982192500000001
2004,2171.0,112.0,45.7,55.3,22.7,197.0,21.2,0.29,2428.0,4908.1,3.22,1701.0,,0.3,3.9,,498.3,1.9,13.7,,4.9,0.9,19.0,27.9,,2.6,34.3,87.5,62.7,42.6,44.6,-1.71,22.8,,21.1,,3.9,,16.2,,59.0,6.0,57.720592666666654,63.97688208333333,6.034824583333332
2005,2175.0,114.0,46.3,56.7,23.0,199.0,21.7,0.29,2468.0,5054.2,3.25,1703.0,,0.3,3.9,,495.3,2.0,12.9,,4.9,1.1,23.0,27.8,,2.7,34.0,87.9,63.1,44.2,44.9,-1.18,22.2,,21.0,,4.1,,14.9,,60.0,6.0,61.37753891666667,68.19645525,6.356637833333334
2006,2181.0,115.0,47.7,57.7,23.7,203.0,22.2,0.29,2504.0,5228.3,3.25,1707.0,,0.3,3.8,,491.4,2.1,12.3,,4.8,0.7,23.0,27.7,,2.8,33.7,88.3,63.5,44.7,45.3,-1.64,21.8,,20.9,,4.2,,14.0,,60.0,6.0,64.5450995,71.92454408333333,5.1698045
2007,2188.0,116.0,49.0,58.7,24.3,208.0,22.0,0.29,2540.0,5474.7,3.3,1712.0,,0.3,3.8,,487.6,2.3,11.7,,4.8,1.2,30.0,27.6,,2.9,33.4,88.7,64.7,44.8,46.2,-1.6,21.1,,20.8,,4.4,,13.1,,59.0,8.0,66.93824816666667,74.04032441666666,3.7032716666666663
2008,2197.0,117.0,50.0,59.3,25.0,211.0,22.4,0.29,2567.0,5618.5,3.31,1718.0,0.7,0.3,3.7,,484.0,2.4,11.4,,4.7,4.1,41.0,27.7,6.6,2.9,33.1,89.1,66.0,45.0,47.2,-1.78,20.2,33.0,20.7,,4.6,,12.6,0.2,59.0,9.0,75.60736166666666,80.09996741666666,12.930978083333335
2009,2205.0,117.0,50.7,60.0,25.0,209.0,22.9,0.29,2569.0,5606.6,3.37,1723.0,,0.3,3.6,,481.3,2.6,11.8,,4.6,5.8,31.0,28.3,,3.0,32.9,89.5,67.2,45.1,48.2,-1.73,19.5,,20.6,,4.8,,12.8,,59.0,10.0,80.35601383333334,83.47442724999998,6.404638333333334
