Year,Average dietary energy requirement (kcal/cap/day),Average dietary energy supply adequacy (percent) (3-year average),Average fat supply (g/cap/day) (3-year average),Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Coefficient of variation of habitual caloric consumption distribution (real number),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Incidence of caloric losses at retail distribution level (percent),Minimum dietary energy requirement  (kcal/cap/day),Number of children under 5 years affected by wasting (million),Number of children under 5 years of age who are overweight (modeled estimates) (million),Number of children under 5 years of age who are stunted (modeled estimates) (million),Number of moderately or severely food insecure people (million) (3-year average),Number of newborns with low birthweight (million),Number of obese adults (18 years and older) (million),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of women of reproductive age (15-49 years) affected by anemia (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of population using safely managed drinking water services (Percent),Percentage of population using safely managed sanitation services (Percent),Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Prevalence of low birthweight (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of obesity in the adult population (18 years and older),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Rail lines density (total route in km per 100 square km of land area),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,2445.0,,,,,,,,,56106.7,,1888.0,0.1,0.1,0.1,,4.9,0.1,,,0.1,,,,3.6,3.0,4.4,99.0,99.0,99.0,99.0,1.14,12.3,,9.8,,4.4,,,,,,72.30195075,75.25475908333333,
2001,2449.0,,,,,5.0,,,,54029.7,,1891.0,,0.1,0.1,,4.8,0.1,0.0,,0.1,3.0,,,,3.0,4.3,99.0,99.0,99.0,99.0,,12.1,,9.8,,4.5,,0.0,,,2.0,72.67540749999999,76.00519783333334,0.516552
2002,2452.0,,,,,5.0,,,,55634.7,,1893.0,,0.1,0.1,,4.7,0.1,0.0,,0.1,2.5,,,,3.1,4.2,99.0,99.0,99.0,99.0,1.26,11.9,,9.8,,4.6,,0.0,,,2.0,72.83746500000002,75.70750341666667,0.22318441666666666
2003,2455.0,,,,,6.0,,,,59022.1,,1894.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.5,,,,3.1,4.1,99.0,99.0,99.0,99.0,0.88,11.8,,9.7,,4.7,,0.0,,,2.0,73.07686775,76.09202558333335,0.32868116666666664
2004,2458.0,,,,,6.0,,,,64011.4,,1896.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,2.4,,,,3.2,4.0,99.0,99.0,99.0,99.0,1.09,11.7,,9.7,,4.8,,0.0,,,2.0,74.09341,77.35722841666666,1.3903365
2005,2461.0,,,,,6.0,,,,67125.6,,1899.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.6,,,,3.2,3.9,99.0,99.0,99.0,99.0,1.16,11.7,,9.7,,4.9,,0.0,,,2.0,72.3939395,77.68273,-2.2917994999999998
2006,2470.0,,,,,5.0,,,,70916.0,,1904.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.3,,,,3.3,3.8,99.0,99.0,99.0,99.0,1.25,11.6,,9.7,,5.0,,0.0,,,2.0,73.81223841666667,78.43073833333332,1.9596963333333335
2007,2479.0,,,,,5.0,,,,74159.4,,1910.0,,0.1,0.1,,4.6,0.2,0.0,,0.1,1.1,,,,3.4,3.7,99.0,99.0,99.0,99.0,1.17,11.5,,9.7,,5.1,,0.0,,,2.0,76.79215275000001,80.08161125,4.031099166666667
2008,2488.0,,,,,5.0,,,,71629.8,,1915.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.2,,,,3.5,3.5,99.0,99.0,99.0,99.0,1.35,11.5,,9.7,,5.2,,0.0,,,2.0,84.25423516666666,85.38924575,9.732986666666667
2009,2495.0,,,,,4.0,,,,69585.8,,1920.0,,0.1,0.1,,4.7,0.2,0.0,,0.2,1.5,,,,3.7,3.4,99.0,99.0,99.0,99.0,1.18,11.4,,9.7,,5.3,,0.0,,,2.0,86.37982591666668,85.89878058333335,2.5671424166666665
