Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","88.959933","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","89.702503","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","90.146512","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","90.36532","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","89.822766","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","91.186685","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","91.623743","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","92.038193","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","94.253621","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","98.959207","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.363779","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.352263","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.401259","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.351448","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.35891","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.232748","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","100.105312","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.082083","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.875088","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.374915","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.659306","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","105.803484","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","89.02398","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","89.740561","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","90.171884","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","90.305036","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","89.943333","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","91.224363","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","91.646349","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","92.203974","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","94.645465","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","98.992526","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.329489","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.310053","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.366591","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.316025","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","096","Brunei Darussalam","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.809118","X","International reliable sources","base year is 2015"
