Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","123","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","125","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","127","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","127","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","127","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","126","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","126","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","125","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","125","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","125","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","127","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","128","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20002002","2000-2002","I$ per person","81","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20012003","2001-2003","I$ per person","85","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20022004","2002-2004","I$ per person","86","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20032005","2003-2005","I$ per person","76","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20042006","2004-2006","I$ per person","79","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20052007","2005-2007","I$ per person","84","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20062008","2006-2008","I$ per person","98","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20072009","2007-2009","I$ per person","99","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20082010","2008-2010","I$ per person","101","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20092011","2009-2011","I$ per person","104","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20102012","2010-2012","I$ per person","108","F","FAO estimate",""
